registro_lote,sheet_row,operador_marca,cnpj_original_ou_candidato,cnpj_corrente_ou_candidato,status_previo,evidencia_20260924,decisao_p1,novo_nivel,regra_cenario_exploratorio,fonte_1,fonte_1_natureza,fonte_2,fonte_2_natureza,limitacao,proxima_acao
L25-01,100,"Loja Marlin Fashion",18556994000192,,"P1 — operação atual com CNPJ inapto","Operação Loja Marlin Fashion permanece publicamente presente no mesmo endereço. CNPJ 18.556.994/0001-92 continua INAPTO desde 19/05/2026 segundo fontes cadastrais recentes.","RESOLVER_P1_PARA_DENOMINADOR: uma operação atual; regularidade/novo CNPJ deixam de bloquear número de storefronts","P2","INCLUIR_UMA_OPERACAO_MARLIN_NO_CENARIO_BASE; NÃO_TRATAR_18556994000192_COMO_CNPJ_ATIVO","Perfil local estruturado atual + Lista Amarela","Fontes operacionais locais atuais","https://www.econodata.com.br/consulta-empresa/18556994000192-marciel-murad-ibrahim ; https://empresas.serasaexperian.com.br/consulta-gratis/MARCIEL-MURAD-IBRAHIM-ME-18556994000192","Secundárias cadastrais recentes — INAPTA","A presença operacional não resolve regularidade fiscal/cadastral.","Manter busca de CNPJ corrente/regularização como P2 não bloqueante para storefront."
L25-02,130,"Ka Lopes Fitness",15009711000102,,"P1 — CNPJ histórico forte, identidade corrente pendente","Ka Lopes Fitness possui operação atual na Rua Barão do Rio Branco 2305 Sala 102A, telefone 55 99920-4343, avaliações e horários. CNPJ histórico 15.009.711/0001-02 permanece ativo, mas em endereço/atividade cadastral diferentes.","RESOLVER_P1_PARA_DENOMINADOR: contar uma operação Ka Lopes; não atribuir o CNPJ histórico à operação atual","P2","INCLUIR_UMA_OPERACAO_KA_LOPES_SEM_CNPJ_CORRENTE_CONFIRMADO","https://localtreino.com/lojas-de-moda-fitness/sao-borja/ka-lopes-fitness-sao-borja/","Diretório operacional recente, rastreado em setembro/2026","https://advdinamico.com.br/empresas/15009711000102","Secundária cadastral do CNPJ histórico/candidato","O CNPJ histórico ativo não está documentalmente ligado ao ponto atual.","Buscar NF-e, IE, alvará ou dado legal do ponto atual como P2."
L25-03,156,"Rilu / Rilu Tecidos",90859091000108,00664113000191,"P1 — equivalência Rilu Armarinhos vs Rilu Tecidos pendente","CNPJ antigo Rilu Armarinhos 90.859.091/0001-08 foi baixado em 2019 e tinha Teresinha Socoloski como titular. Rilu Tecidos 00.664.113/0001-91 está ativa, tem Teresinha Socoloski como sócia-administradora e operação atual em São Borja.","RESOLVER_P1_PARA_DENOMINADOR: uma operação Rilu corrente sob 00.664.113/0001-91; não afirmar sucessão jurídica formal","P4","INCLUIR_RILU_TECIDOS_COMO_OPERACAO_CORRENTE; EXCLUIR_CNPJ_HISTORICO_DA_OFERTA","https://cnpj.biz/90859091000108","Secundária cadastral — CNPJ histórico baixado","https://www.solutudo.com.br/empresas/rs/s-borja/tecidos/socoloski-socoloski-comercio-de-tecidos-ltda-9413728 ; https://guiapj.com.br/municipio/8863","Secundárias cadastrais/empresariais atuais — Rilu Tecidos ativa","Continuidade de nome/titular não equivale a sucessão jurídica formal.","Para o cenário mercadológico usar uma operação Rilu atual; preservar ambas as pessoas jurídicas na trilha."
L25-04,182,"Veterinária São Francisco",01448878000157,03243241000150,"P1 — homonímia/sucessão entre dois CNPJs","CNPJ original de Mario Lucio Saraiva Goncalves aparece ativo e com fantasia Veterinaria Sao Francisco em listagem municipal derivada da RFB. Operação atual publicamente identificada como Veterinaria Sao Francisco está vinculada a Lucinara Marchezan Goncalves, CNPJ 03.243.241/0001-50, com endereço próprio e licença municipal histórica.","RESOLVER_P1_PARA_DENOMINADOR: contar uma operação São Francisco corrente sob 03.243.241/0001-50; não somar o CNPJ de Mario como segundo storefront sem evidência operacional atual","P2","INCLUIR_03243241000150_COMO_OPERACAO_SAO_FRANCISCO_BASE; MANTER_01448878000157_NA_CAMADA_JURIDICA_SEM_STOREFRONT_ADICIONAL","https://www.solutudo.com.br/empresas/rs/s-borja/farmacias-veterinarias/lucinara-marchezan-goncalves-9414022","Diretório empresarial atual — Veterinaria Sao Francisco, CNPJ e endereço","https://www.saoborja.rs.gov.br/images/DOESB/2018/Dezembro/doesb27_12_2018.pdf ; https://civvico.com.br/uf/rs/sao-borja","Fonte oficial municipal histórica para Lucinara + agregador cadastral municipal para Mario","Não foi comprovado que o CNPJ original de Mario esteja fechado nem que represente segunda unidade atual.","Manter investigação histórica/societária como P2 sem duplicar storefront."
L25-05,127,"Excêntrica",18283007000123,46083011000183,"P1 — marca atual com CNPJ candidato de outro nome/atividade principal","Excêntrica permanece como boutique operacional em General Marques 939. CNPJ 46.083.011/0001-83 está ativo no mesmo endereço; porém fonte institucional de 2024 o identifica como NOAH e CNAE principal é lanchonete, embora haja atividade secundária de vestuário.","RESOLVER_P1_PARA_DENOMINADOR: contar uma operação Excêntrica; não promover 46.083.011/0001-83 como identidade canônica da marca","P2","INCLUIR_UMA_OPERACAO_EXCENTRICA_SEM_CNPJ_CORRENTE_CONFIRMADO","https://www.listamais.com.br/categoria/fQZQ-1114/lojas-de-roupas-femininas-em-sao-borja-rs","Diretório operacional recente — Boutique Excêntrica no endereço","https://www.nacionalconsultas.com.br/cnpj/pedro-roberto-da-silva-quoos-46083011000183 ; https://www.fgtas.rs.gov.br/upload/arquivos/202401/04085040-relacao-de-credenciados-verocard-elo-cecom-janeiro-2024-compressed-1.pdf","Secundária cadastral + fonte institucional estadual histórica","Mesmo endereço/telefone não basta para atribuir a marca a CNPJ com fantasia NOAH.","Buscar NF-e/IE/alvará da Excêntrica como P2; storefront já resolvido."
L25-06,161,"Bella Cestas & Presentes",48341505000146,,"P1 — candidato moderado por co-localização","Bella Cestas & Presentes possui presença operacional atual na Rua Aparício Mariense 2671 Sala 02. CNPJ 48.341.505/0001-46 de Michele Silveira Avila está ativo exatamente na mesma sala, mas é identificado como atividade de estética e usa contato próprio; não há vínculo explícito da marca Bella Cestas.","RESOLVER_P1_PARA_DENOMINADOR: contar uma operação Bella Cestas; não promover 48.341.505/0001-46 como CNPJ da marca","P2","INCLUIR_UMA_OPERACAO_BELLA_CESTAS_SEM_CNPJ_CONFIRMADO","Google local/business listing — Bella Cestas & Presentes, consultado em 24/09/2026","Fonte operacional/local estruturada","https://cnpj.biz/48341505000146 ; https://www.solutudo.com.br/empresas/rs/s-borja/clinicas-de-estetica-e-esteticistas/michele-silveira-avila-32872535","Secundárias cadastrais da pessoa jurídica co-localizada","Co-localização exata pode representar negócios distintos compartilhando sala.","Buscar NF-e, Pix empresarial, IE, alvará ou dado legal da Bella como P2."
L25-07,160,"Amei Presentes Criativos",30650368000166,66405682000120,"P1 — CNPJ histórico baixado e sucessor candidato","Marketplace rastreado em setembro/2026 continua apresentando Amei Presentes Criativos no endereço Julio Trois 1559 sob o CNPJ histórico 30.650.368/0001-66, já baixado. A mesma titular abriu em 23/04/2026 o CNPJ 66.405.682/0001-20, ativo, no mesmo endereço e com atividades compatíveis.","RESOLVER_P1_PARA_DENOMINADOR: contar uma operação Amei atual; tratar 66.405.682/0001-20 como sucessor jurídico candidato, não canônico ainda","P2","INCLUIR_UMA_OPERACAO_AMEI; NÃO_USAR_CNPJ_HISTORICO_COMO_ATIVO; SUCESSOR_CANDIDATO_P2","https://www.magazinevoce.com.br/magazinedigitale/buque-dia-dos-pais/p/dh9f26f841/de/kpte/?seller_id=ameipresentescriativos","Marketplace rastreado recentemente — marca, CNPJ histórico e endereço","https://cnpj.biz/66405682000120 ; https://casadosdados.com.br/solucao/cnpj/66-405-682-jenifer-bettim-marques-dias-66405682000120","Secundárias cadastrais do CNPJ novo ativo","Marketplace pode manter cadastro jurídico desatualizado; mesma titular/endereço não prova transferência formal da marca.","Buscar NF-e/IE/alvará da operação atual como P2."
L25-08,188,"Pet Shop Bicho Mimado",22663567000180,,"P1 — operação atual com CNPJ histórico inapto","Pet Shop Bicho Mimado segue operacional na Rua Inhandoi 141, com avaliações recentes. O CNPJ histórico permanece inapto e nenhum CNPJ atual foi vinculado com segurança.","RESOLVER_P1_PARA_DENOMINADOR: uma operação Bicho Mimado; identidade jurídica corrente não bloqueia storefront","P2","INCLUIR_UMA_OPERACAO_BICHO_MIMADO_SEM_CNPJ_ATIVO_CONFIRMADO","https://www.tutorcanino.com.br/petshops/rs/sao-borja/pet-shop-bicho-mimado","Diretório operacional recente","Base cadastral do lote 11/21","Secundária cadastral — CNPJ histórico inapto","Presença operacional não identifica a pessoa jurídica utilizada atualmente.","Buscar NF-e, IE ou alvará como P2."
L25-09,213,"Marco Relojoeiro",87236758000101,87236758000101,"P1 — candidato forte por endereço/CNAE/sócio","Marco Relojoeiro opera em General Osorio 2215, telefone 3431-2598. Telo e Telo Ltda, CNPJ 87.236.758/0001-01, está ativa no mesmo endereço, possui CNAEs de relojoaria e reparação de relógios e tem Marco Telo como sócio-administrador.","RESOLVER_P1_PARA_DENOMINADOR: contar uma operação Marco Relojoeiro; promover o CNPJ como identidade candidata forte, mantendo confirmação direta da marca em P2","P2","INCLUIR_UMA_OPERACAO_MARCO_RELOJOEIRO; CNPJ_87236758000101_COMO_IDENTIDADE_FORTE_NAO_CANONICA","https://www.citiservi.com.br/rio-grande-do-sul/marco-relojoeiro-sao-borja__1040750_16293.html","Diretório operacional — marca, endereço e telefone","https://cnpj.biz/87236758000101","Secundária cadastral — mesmo endereço, CNAEs e sócio Marco Telo","Não foi localizada fantasia cadastral Marco Relojoeiro.","Promover vínculo para P2 de confirmação editorial/jurídica, sem bloquear storefront."
L25-10,123,"7 Povos Confecções e Calçados",97093694000190,,"P1 — candidato forte de CNPJ, marca atual com endereço divergente","7 Povos Confecções possui presença operacional recente em São Borja. Histórico operacional a coloca em Cândido Falcão 1233, mesmo endereço do CNPJ ativo 97.093.694/0001-90 de João Renato Prauchner; lista local de 22/04/2026 apresentou a marca em General Marques 978.","RESOLVER_P1_PARA_DENOMINADOR: contar uma operação 7 Povos Confecções; manter 97.093.694/0001-90 como candidato forte, não canônico","P2","INCLUIR_UMA_OPERACAO_7_POVOS_CONFECCOES; CNPJ_CANDIDATO_P2","https://www.solutudo.com.br/empresas/rs/s-borja/roupas-e-acessorios/joao-renato-prauchner-9419105","Secundária cadastral atual — CNPJ ativo em Cândido Falcão 1233","https://www.findglocal.com/BR/S%C3%A3o-Borja-RS/28966-6/genre/128753240528981/Lojas%2Bde%2Broupa%2Bde%2Bsenhora ; https://simusb.blogspot.com/p/empresas-conveniadas.html","Diretórios operacional/histórico e institucional/local 2026","Mudança de endereço impede atribuição jurídica automática à operação atual.","Buscar vínculo marca↔CNPJ atual como P2; storefront já resolvido."
