caderno,secao_afetada,estado_do_texto_final_13092026,nova_evidencia_exploratoria,efeito_analitico,tipo_de_delta,status_promocao,condicao_para_promover,risco_se_nao_atualizar,limitacao
"Comércio de Bens Essenciais","Microambiente / concorrência","Texto já afirma que contar estabelecimentos é insuficiente e distingue grandes formatos de vizinhança","RFB2026-08: 6,63% dos estabelecimentos varejistas têm matriz externa; modelo RAIS2025×RFB2026 estima 37,46% do emprego e 38,16% da remuneração de dezembro em estruturas externas; proxy de escala externa/local = 8,44","A tese de assimetria de escala ganha suporte quantitativo; não altera a distinção de missões","APROFUNDAMENTO COM DADO NOVO","NÃO PROMOVER AUTOMATICAMENTE","Revisão metodológica do modelo estimado e decisão explícita de incorporar camada pós-13/09","Caderno pode permanecer correto, mas subestimar a assimetria estrutural entre operadores","Emprego/remuneração externos são estimativas; não são market share"
"Comércio de Bens Essenciais","Tecnologia / jornada digital","Texto diz que digital influencia pré-compra","Inventário: 39/54 linhas nomeadas com algum endpoint digital registrado (72,22%); 15/54 sem endpoint registrado","Permite distinguir presença básica de maturidade digital e focalizar operadores sem endpoint documentado","QUALIFICAÇÃO DE TESE EXISTENTE","NÃO PROMOVER AUTOMATICAMENTE","Auditar atualidade do inventário e definir protocolo de presença digital","Recomendação de digitalização fica genérica e não diferencia ausência de presença de execução ruim","Inventário pode ter viés de busca; endpoint registrado ≠ perfil ativo"
"Comércio de Bens Essenciais","Contexto econômico / preços","Caderno usa renda e inflação como contexto","Preços Dinâmicos ago/2026: PCA-RE Fronteira Oeste R$284,19 vs RS R$298,61; ICA 12m FO 3,23% vs RS3,49%; cebola +101,93% 12m e hortaliças +18,69%","Atualiza o ambiente de preços e mostra que média regional moderada pode coexistir com choques fortes por item","ATUALIZAÇÃO CONJUNTURAL","NÃO PROMOVER AUTOMATICAMENTE","Definir política editorial para dados conjunturais pós-fechamento e periodicidade de atualização","Caderno final pode envelhecer rapidamente no componente conjuntural","COREDE ≠ município; preços agregados não medem margem"
"Saúde, Higiene e Cuidados Pessoais","Oferta / concorrência","Caderno trabalha com evidência qualitativa de redes e nichos, mas sem estrutura nominal auditada","Inventário: 41 linhas nomeadas; 39 com CNPJ extraível,37 únicos; farmácia/drogaria 20 CNPJs únicos em 7 raízes; 85% das unidades catalogadas pertencem a raízes multiunidade; maior raiz35%","A saliência qualitativa de grandes farmácias passa a ter suporte estrutural de multiunidade, sem medir share","NOVO DIAGNÓSTICO ESTRUTURAL","NÃO PROMOVER AUTOMATICAMENTE","Revalidar situação cadastral das unidades, deduplicar e classificar matriz local/externa","Caderno pode tratar rede/independente de forma apenas qualitativa apesar de agora haver estrutura observável","85% é proporção de unidades catalogadas em raízes multiunit; não é market share"
"Saúde, Higiene e Cuidados Pessoais","Tecnologia / pesquisa digital","Caderno reconhece pesquisa/comparação digital","41/41 linhas têm algum endpoint digital registrado; Instagram39/41; site/URL26/41","A lacuna deixa de ser simples presença digital e passa a ser maturidade: atualização, catálogo, preço/estoque, resposta e conversão","REFINO DE RECOMENDAÇÃO","NÃO PROMOVER AUTOMATICAMENTE","Validar atividade dos perfis e aplicar protocolo comum de maturidade","Recomendação pode ficar presa a 'estar no digital' quando presença nominal já é elevada","Presença nominal não mede atividade ou desempenho"
"Bens Não Essenciais","Oferta / estrutura competitiva","Caderno enfatiza concorrência digital e centros superiores","Inventário:120 linhas nomeadas,103 CNPJs únicos extraíveis,99 raízes; só7,77% das unidades em raízes multiunidade","Mostra forte pulverização empresarial nominal; competição extralocal não depende de redes multiunidade locais","NOVO DIAGNÓSTICO ESTRUTURAL","NÃO PROMOVER AUTOMATICAMENTE","Revalidar CNPJs e depurar submercados moda/pet/eletro/joias","Caderno pode superestimar homogeneidade de 'varejo local' e não distinguir submercados","Inventário não é censo ativo; grupos textuais são SBMI"
"Bens Não Essenciais","Digital / jornada híbrida","Caderno registra críticas à presença/integração digital local","117/120 linhas têm algum endpoint registrado (97,50%); Instagram111/120; site/URL33/120","A crítica deve ser formulada como problema de execução/maturidade e integração, não mera ausência digital","CORREÇÃO DE ÊNFASE","NÃO PROMOVER AUTOMATICAMENTE","Auditar atividade, SLA, catálogo, preço/estoque e conversão em amostra estruturada","Texto pode induzir diagnóstico de ausência digital quando o inventário indica presença nominal ampla","Inventário pode super-representar operadores encontráveis online"
"Bens Não Essenciais","Concorrência territorial","Caderno usa REGIC 2018 como evidência histórica de centralidade externa","Nova análise preserva REGIC apenas como ligação histórica e cruza com estrutura empresarial pulverizada e competição digital","Permite separar concorrência territorial histórica de concorrência digital corrente","REFINO METODOLÓGICO","NÃO PROMOVER AUTOMATICAMENTE","Manter advertência explícita de que REGIC26,67% não é share de gasto nem retrato2026","Risco de leitura indevida de 26,67% como fuga monetária","REGIC 2018 não mede gasto atual"
"Alimentação Fora do Lar e Serviços","Oferta — alimentação","Caderno reconhece CNAE56 e relevância territorial, mas ainda não integra controle matriz/filial atual","RFB2026-08: CNAE56 =409 estabelecimentos;4 externos;99,02% vinculados a matrizes locais; RAIS2024=339 vínculos","Oferta local é numerosa e cadastralmente enraizada; reforça competição por diferenciação/experiência em vez de simples atração de redes","APROFUNDAMENTO ESTRUTURAL","NÃO PROMOVER AUTOMATICAMENTE","Definir se a camada RFB2026 pós-fechamento entra como atualização e preservar diferença de períodos","Caderno perde oportunidade de mostrar base local de oferta","CNPJ ativo ≠ restaurante comparável, informalidade/faturamento"
"Alimentação Fora do Lar e Serviços","Demanda extralocal / fronteira","Caderno já aponta visitantes/fronteira como oportunidade não quantificada","Agrupamento hospitalidade/turismo/experiência RFB =542 estabelecimentos,99,08% matriz local; Cadastur2T2026 e ANP municipal identificados como próximas fontes","A lacuna passa a ser 'capacidade de captura existe; conversão em gasto não medida'","APROFUNDAMENTO DA LACUNA","NÃO PROMOVER AUTOMATICAMENTE","Extrair Cadastur/ANP e manter gasto/ticket/origem como dado primário pendente","Oportunidade de fronteira pode permanecer abstrata","Oferta local não mede demanda de visitante"
