eixo,pergunta_decisoria,mercados_afetados,evidencia_ja_disponivel,dado_faltante,rota_de_obtencao,tipo_de_dado,estado_atual,criterio_minimo_de_fechamento,uso_analitico,o_que_nao_concluir,prioridade_recomendada
"Destino monetário do gasto","Quanto do gasto é capturado localmente e quanto vai para e-commerce, outros municípios ou Argentina?","Essenciais; saúde/higiene; não essenciais; alimentação/serviços","POMs descrevem jornadas; REGIC mostra ligações históricas; renda/demanda e oferta local estão auditadas","Valor gasto por categoria, canal e destino; origem do consumidor não residente","Pesquisa primária domiciliar/interceptação ou dados transacionais empresariais agregados com desenho explícito","PESQUISA PRIMÁRIA / DADO EMPRESARIAL","BLOQUEADO POR AUSÊNCIA DE DADO MONETÁRIO","Instrumento documentado + amostra/universo + variável monetária por canal/destino","Retenção territorial; tamanho capturado; concorrência extralocal","Não usar REGIC, fluxo da ponte, matriz externa ou presença digital como proxy monetário","MUITO ALTA"
"Origem do cliente e captura de fluxo","Quem compra em São Borja: residente, região, Argentina, transportador, estudante, visitante/evento?","Alimentação; hospedagem; saúde; serviços; varejo; logística","Fluxos fronteiriços e migratórios comprovados; RFB mostra oferta local material; POM mede residentes","Origem geográfica, motivo da viagem, permanência, pernoite, ocasião e ticket","Cadastur/ANP/eventos como proxies + interceptação/CRM/PDV para fechamento","SECUNDÁRIO + PRIMÁRIO","PROXIES DISPONÍVEIS; GASTO NÃO MEDIDO","Ao menos uma fonte de origem/fluxo compatível + variável de gasto ou ticket por origem para inferência monetária","Área de influência atual e captura extralocal","Não converter veículos, atendimentos migratórios, combustível ou Cadastur em gasto","MUITO ALTA"
"Radar — composição e dependência","Quais produtos/setores demandados no RS dependem de OUF/EXT e quais têm mercado/destinos relevantes?","Agroindústria; alimentos; cadeias selecionadas de saúde, essenciais e não essenciais","NT CIET 05/2026 auditada; fórmula Part.RS e seis CSVs documentados; pipeline genérico pronto","Bytes dos CSVs reais + schemas + valores atuais por NCM/setor","Radar Dados Abertos — CSVs oficiais","ADMINISTRATIVO OFICIAL","METODOLOGIA FECHADA; DADOS REAIS PENDENTES","CSV oficial obtido + schema auditado + período/unidade confirmados + pelo menos uma cesta reproduzida sem inferência de campos","Dependência externa; fornecedores; destinos; posicionamento de cadeias","Não inferir valores do Power BI visual nem aplicar dado estadual como demanda municipal","MUITO ALTA"
"Simples/SIMEI","Qual é a composição dos estabelecimentos por MEI e Simples e como varia por atividade?","Todos; estrutura empresarial; Fecomércio","RFB CNPJ 2026-08 = 7.306 ativos; SINAC/SIMEI municipal e por CNAE confirmado; cross-check secundário MEI não aceito","Valor oficial São Borja por município/CNAE e competência compatível","Receita Federal — SINAC/SIMEI; arquivo Simples/CNPJ da mesma competência","ADMINISTRATIVO OFICIAL","ROTA PRIMÁRIA CONFIRMADA; VALOR PENDENTE","Tabela oficial ou reprodução do arquivo primário + competência + definição + conciliação com estoque RFB","Estrutura de microempreendedorismo; porte/regime; segmentação empresarial","Não usar cross-check de 3.829 MEI como dado aceito antes de reprodução primária","ALTA"
"Validação cadastral dos inventários POM","Quantos operadores catalogados continuam ativos e qual é sua estrutura empresarial?","Saúde/higiene; não essenciais; essenciais","Saúde: 41 linhas, 37 CNPJs únicos extraíveis; não essenciais: 120 linhas, 103 CNPJs únicos; essenciais possui camada documental própria","Situação cadastral atual; unidade/matriz; duplicidades; raiz; CNAE principal/secundário quando pertinente","RFB Dados Abertos CNPJ / consulta documental reproduzível","ADMINISTRATIVO OFICIAL","INVENTÁRIO AUDITADO; ATIVIDADE CORRENTE PARCIAL","100% dos CNPJs utilizáveis classificados como ativo/inativo/duplicado/indeterminado com fonte e competência","Oferta ativa; estrutura de rede; matriz local/externa; seleção de submercados","Não tratar número bruto de linhas como estoque ativo","ALTA"
"BET municipal corrente","Qual é o pulso mensal de São Borja em atividade econômica e estabelecimentos?","Transversal; indústria; comércio","BET confirma granularidade municipal; edição ago/2026 não exibiu São Borja no subconjunto lido; Fronteira Oeste extraída","Série/valor municipal corrente reproduzível","BET / dados abertos ou tabelas completas da Receita Estadual","ADMINISTRATIVO OFICIAL","GRANULARIDADE CONFIRMADA; EXTRAÇÃO MUNICIPAL PENDENTE","Valor municipal com período, unidade, conceito e série mínima reproduzível","Pulso econômico municipal; comparação com COREDE/RS","Não interpolar a partir da Fronteira Oeste nem usar ausência em quadro como zero","ALTA"
"Comex municipal e cadeia exportadora","Quais produtos/mercados externos são efetivamente associados a empresas domiciliadas em São Borja?","Agroindústria; logística; atacado; serviços B2B","BET Comex COREDE; plano Comex Stat pronto; Radar/DEE fornecem contexto estadual","Exportações/importações municipais SH4, países, peso e FOB em série corrente","Comex Stat / dados abertos MDIC","ADMINISTRATIVO OFICIAL","PLANO DE EXTRAÇÃO PRONTO; VALORES MUNICIPAIS PENDENTES","Extração São Borja + SH4 + período documentado; distinção domicílio fiscal vs origem física preservada","Destinos externos; cadeias exportadoras; demanda logística","Não atribuir origem física municipal ao produto só pelo domicílio fiscal","ALTA"
"Encadeamento B2B local","Quanto agroindústria, logística, redes e setor institucional compram de fornecedores de São Borja?","Serviços empresariais; atacado; manutenção; TI; comunicação; engenharia","RFB mostra 597 estabelecimentos no agrupamento de serviços de conhecimento/B2B; cadeia agro/logística é material","Compras por fornecedor/localização/categoria; contratos e terceirização","Dados empresariais voluntários; contratos públicos; entrevistas futuras; notas fiscais se legalmente/acessivelmente agregadas","EMPRESARIAL / PRIMÁRIO","MECANISMO PLAUSÍVEL; VOLUME NÃO MEDIDO","Ao menos uma base de compras/contratos com fornecedor e geografia, conceito comparável e período","Multiplicadores locais qualitativos; oportunidades de fornecimento; lacunas de oferta","Não inferir encadeamento apenas por coexistência de empresas","ALTA"
"Maturidade digital","A presença digital registrada se converte em resposta, informação e venda?","Saúde/higiene; não essenciais; serviços; alimentação; essenciais","Presença nominal: essenciais 72,22%; saúde 100%; não essenciais 97,50%; POMs mostram pesquisa digital e fricções de resposta","Atividade, atualização, catálogo/preço, estoque, SLA, avaliações, conversão","Auditoria estruturada de canais públicos + dados operacionais voluntários","OBSERVACIONAL / EMPRESARIAL","PRESENÇA NOMINAL AUDITADA; MATURIDADE NÃO MEDIDA","Protocolo comum por submercado + data de observação + métricas objetivas; conversão só se operador fornecer dado","Maturidade/qualidade digital e fricções comerciais","Não confundir perfil existente com maturidade, alcance ou vendas","ALTA"
"Turismo/hospitalidade formal","Qual é a oferta turística formal corrente e sua evolução?","Hospedagem; alimentação; serviços; eventos","RFB: alojamento31; foodservice409; Cadastur 2T2026 identificado; LOA turismo documentada","Cadastur São Borja por categoria/competência; leitos/unidades quando disponível; ocupação se houver","Ministério do Turismo — Dados Abertos Cadastur; fontes municipais","ADMINISTRATIVO OFICIAL","RECURSO OFICIAL IDENTIFICADO; EXTRAÇÃO MUNICIPAL PENDENTE","Contagem municipal atual com categoria, competência e regra Cadastur; ocupação separada se fonte distinta","Oferta turística formal e evolução","Não equiparar CNPJ de alojamento a leitos nem Cadastur a demanda turística","MÉDIA-ALTA"
"Mobilidade por combustíveis","Os fluxos de mobilidade deixam sinal mensurável no abastecimento local?","Fronteira; logística; turismo; varejo de combustíveis","ANP possui vendas por município até 2024 e cadastros de revendedores; fluxo da ponte já documentado","Valores São Borja por combustível, série e rede de revendedores","ANP Dados Abertos","ADMINISTRATIVO OFICIAL","ROTA CONFIRMADA; EXTRAÇÃO MUNICIPAL PENDENTE","Série municipal por combustível + unidade/período; comparação apenas como proxy complementar","Contexto de mobilidade e abastecimento","Não identificar turista/transportador/residente nem converter litros em gasto turístico","MÉDIA"
