circuito,periodo,geografia,evidencia_observada,indicador_calculado,natureza,interpretacao,hipotese_ou_oportunidade,risco_ou_limitacao,indicadores_acompanhamento,prioridade
"Base de consumo recorrente","2022-2026","São Borja","Renda domiciliar mediana per capita 2022 = R$ 1.100; 85,79% do universo compatível sem rendimento ou até 2 SM per capita; INSS jul/2026 = R$ 24,535 mi; NBF jul/2026 = R$ 1,514 mi; folha pública não municipal documentada = R$ 9,552 mi/mês; remuneração empresarial RAIS dez/2025 = R$ 23,940 mi","NÃO SOMAR os fluxos","DADOS OBSERVADOS DE UNIVERSOS NÃO ADITIVOS","A demanda residente combina orçamento comprimido com fluxos recorrentes de trabalho, previdência, transferências e folha pública.","Mercados de recorrência podem ter maior estabilidade de frequência que mercados discricionários, mas com forte sensibilidade a preço e calendário.","Universos, períodos e pessoas podem se sobrepor; não estimar renda total por soma.","INSS; NBF; remuneração RAIS; renda domiciliar; ticket/frequência internos","MUITO ALTA"
"Agro e agroindústria alimentar","2024-2026","São Borja / RS","Agro = 33,87% do VAB municipal em 2021; núcleo agropecuária + indústria alimentar = 20,02% dos vínculos RAIS 2024 e 19,96% da massa salarial; beneficiamento de arroz 2025 = 953 vínculos; produtos alimentícios RS +6,5% no 1T2026 e +1,3% em ago/2026","Alimentos vs indústria total: +4,6 p.p. no 1T2026; +4,8 p.p. em ago/2026","OBSERVADO + CALCULADO","A cadeia agroalimentar é material, mas sua importância econômica não deve ser reduzida ao emprego primário; transformação e serviços de apoio são canais centrais de transmissão.","Aprofundar cadeias além do arroz: beneficiamento de grãos, alimentos processados, insumos, embalagem, manutenção, armazenamento e serviços B2B.","Os dados estaduais de alimentos não provam desempenho local; faltam vendas por CNAE/NCM e compras locais.","RAIS/CNPJ por CNAE; Radar por NCM/setor; destinos; fornecedores; massa salarial; VAF setorial se disponível","MUITO ALTA"
"Comércio exterior e logística","2025-09 a 2026-08","Fronteira Oeste / RS","Exportações Fronteira Oeste = US$ 322,2 mi, +27,43%; vendas totais = US$ 5,673 bi, +12,84%; transporte/armazenagem/correio = 873 vínculos RAIS 2024; corredor internacional material","Crescimento exportações FO - RS = +24,54 p.p.; intensidade exportadora calculada FO = 5,68% vs RS = 9,92%, diferença -4,24 p.p.","OBSERVADO + CALCULADO","A região acelera sua inserção externa, mas ainda apresenta menor razão exportações/vendas que o agregado estadual.","Há espaço para investigar serviços logísticos, armazenagem, despacho, manutenção, alimentação, hospedagem e B2B associados a fluxos externos.","Exportação regional não mede captura de valor em São Borja; não há gasto de transportadores/visitantes nem receita logística municipal.","Exportações COREDE; emprego logística; tráfego ponte; origem/destino; tempo de permanência; vendas locais B2B","ALTA"
"Varejo essencial e cotidiano","2024-2026","São Borja / Fronteira Oeste","Varejo = 2.824 vínculos RAIS 2024; mediana salarial dez/2024 = R$ 2.132,59; POM identifica missões de abastecimento e reposição; PCA-RE FO ago/2026 = R$ 284,19 vs RS R$ 298,61","PCA-RE FO = 4,83% abaixo do RS; presença externa varejo = 6,63% dos estabelecimentos, mas 37,46% do emprego estimado","OBSERVADO + CALCULADO/ESTIMADO","O varejo cotidiano combina base de demanda recorrente, forte sensibilidade a orçamento e competição funcional de redes externas muito maior que sua presença cadastral.","Operadores locais podem competir por missão de compra, agilidade, disponibilidade, clareza de preço, relacionamento e conveniência, não apenas preço nominal.","Emprego externo é estimativa RAIS×RFB, não market share; preços são COREDE, não município.","ruptura; fila; frequência; cesta; promoções; origem do cliente; share interno quando empresas fornecerem dados","MUITO ALTA"
"Saúde, higiene e cuidados pessoais","2024-2026","São Borja","Saúde e assistência social = 721 vínculos RAIS 2024; POM local aponta reposição frequente em higiene, conveniência, pesquisa digital e valorização de atendimento especializado; administração+educação+saúde/social = 24,32% dos vínculos e 31,57% da massa de remuneração média","Intensidade remuneratória relativa do bloco institucional = 31,57/24,32 = 1,30","OBSERVADO + CALCULADO","Saúde/cuidados opera em camadas: necessidade recorrente, conveniência e confiança técnica coexistem com itens mais discricionários e concorrência digital.","Aprofundar submercados de tratamento, higiene, beleza, suplementação e serviços especializados; medir centralidade regional de saúde.","POM é qualitativo; emprego não mede demanda de pacientes; razão 1,30 é comparação de participações, não prêmio salarial causal.","origem de pacientes/clientes; frequência; ticket por missão; pesquisa digital→compra; empregos e estabelecimentos por CNAE","ALTA"
"Bens não essenciais / varejo híbrido","2024-2026","São Borja","56,57% dos vínculos formais com remuneração positiva de dezembro recebem até 2 SM; POM identifica jornadas digitais, presenciais e híbridas; físico retém valor em tangibilidade, troca, disponibilidade e crédito local.","Sem cálculo adicional","OBSERVADO","A compra discricionária é mais vulnerável a orçamento e comparação externa; o diferencial local está em reduzir risco e fricção, não em replicar escala de marketplaces.","Curadoria, disponibilidade imediata, pós-venda, entrega local, integração digital-loja e crédito responsável podem proteger conversão.","Não há share monetário do e-commerce, elasticidade local ou ticket por categoria.","conversão digital→loja; prazo entrega; troca; estoque; crédito; categorias com urgência funcional","ALTA"
"Alimentação fora do lar e serviços","2024-2026","São Borja","CNAE 56 = 339 vínculos formais em 2024 e mediana salarial de R$ 1.994,43; survey local 2026 com 153 respostas registra qualidade dos alimentos valorizada por 95,4%; fronteira amplia circulação potencial.","Sem cálculo adicional","OBSERVADO","O mercado combina restrição de orçamento, experiência, reputação e ocasião; circulação fronteiriça pode ampliar demanda, mas sua conversão local é desconhecida.","Segmentar ocasião, preço/valor, experiência e conveniência; testar captura de viajantes e públicos institucionais/universitários.","Survey online; fluxo fronteiriço não é gasto; informalidade relevante pode não aparecer na RAIS.","ticket; frequência; origem cliente; avaliações; ocupação; delivery; gasto de visitantes","ALTA"
"Finanças e crédito","2021-2026","São Borja","Crédito rural agrícola = 47,64%-55,55% do estoque selecionado ESTBAN; crédito total real-proxy jun/2021→jun/2026 +12,64%; rural +13,04%; finanças = 32,5% de estabelecimentos externos e 96,73% do emprego estimado externo","Participação externa funcional muito superior à cadastral","OBSERVADO + ESTIMADO","O sistema financeiro local é fortemente conectado a redes externas e ao ciclo agro, funcionando como infraestrutura de intermediação mais que como setor puramente local.","Há espaço analítico para produtos financeiros rurais, empresariais, seguros e serviços de gestão de risco.","Estoque de crédito não mede renda, inadimplência ou destino final; emprego externo é estimado.","ESTBAN; SICOR; inadimplência; seguros; crédito empresarial; presença institucional","ALTA"
"Base institucional pública","2024-2026","São Borja","Administração pública + educação + saúde/social = 24,32% dos vínculos RAIS 2024 e 31,57% da massa remuneratória média; piso documental público adicional = 1.171 registros/posições heterogêneos","31,57/24,32 = 1,30","OBSERVADO + CALCULADO","A renda institucional é uma âncora urbana relevante e provavelmente menos sincronizada ao ciclo agrícola do que parte da renda privada.","Mercados de rotina, serviços profissionais, alimentação, moradia e saúde devem considerar calendário institucional e perfil ocupacional.","Não somar folhas; vínculos não equivalem a residentes; estabilidade anticíclica não foi testada econometricamente.","folha harmonizada; vínculos; calendário de pagamento; origem/residência quando disponível","ALTA"
"Ambiente empresarial","2026-05 a 2026-08","São Borja / RS","Mai-jul/2026 turnover-proxy SB = 2,30% vs RS 2,71%; tempo médio de abertura SB = 34,5 dias vs peers 10,0-15,3 dias; RFB ago/2026 = 7.306 estabelecimentos ativos","Turnover SB/RS = 84,61%; estoque RFB cross-check secundário = diferença 0","OBSERVADO + CALCULADO","O problema mais distintivo do recorte recente é fricção de formalização, não churn excepcional.","Investigar jornada de abertura, licenças e gargalos; MEI/Simples são próximos indicadores prioritários para estrutura de pequenos negócios.","Série curta; estoque RFB ≠ MEMP/DREI; cross-check MEI ainda não reproduzido primariamente.","tempo mediano abertura; coortes; MEI; Simples; aberturas/baixas; concentração territorial","MÉDIA-ALTA"
