mercado,dimensao,indicador,formula_ou_definicao,unidade,fonte_recomendada,frequencia_recomendada,natureza,status_atual,uso,limitacao
"Bens essenciais","Disponibilidade","Taxa de ruptura","itens indisponíveis / itens monitorados × 100","%","Dados operacionais do estabelecimento","Semanal ou mensal","INDICADOR RECOMENDADO","NÃO DISPONÍVEL NO SBMI","Monitorar perda de conveniência/estoque","Comparabilidade exige cesta fixa de itens"
"Bens essenciais","Operação","Tempo mediano de fila","mediana do tempo entre entrada na fila e início/fim do atendimento","minutos","Observação operacional / POS","Semanal, por faixa horária","INDICADOR RECOMENDADO","NÃO DISPONÍVEL","Fricção da missão de reposição/abastecimento","Precisa protocolo uniforme por horário"
"Bens essenciais","Preço","Divergência preço anunciado-cobrado","ocorrências de divergência / itens auditados × 100","%","Auditoria interna","Mensal","INDICADOR RECOMENDADO","NÃO DISPONÍVEL","Confiança e experiência operacional","Não mede nível geral de preços"
"Bens essenciais","Comportamento","Ticket por missão","valor médio/mediano separado entre abastecimento e reposição","R$/compra","POS + classificação da missão","Mensal","INDICADOR RECOMENDADO","NÃO DISPONÍVEL","Distinguir os dois jogos competitivos do POM","Missão exige regra operacional ou pergunta ao cliente"
"Saúde/higiene","Oferta","Unidades ativas por submercado","CNPJ/unidade ativa validada por farmácia, ótica, perfumaria, cosméticos etc.","unidades","RFB + inventário auditado","Mensal/trimestral","INDICADOR EM CONSTRUÇÃO","INVENTÁRIO DISPONÍVEL; ATIVIDADE PENDENTE","Estrutura de oferta e rede","Inventário bruto não é estoque ativo"
"Saúde/higiene","Rede","Participação de unidades em raízes multiunidade","unidades em raízes com >1 CNPJ local / unidades únicas auditadas × 100","% de unidades catalogadas","Inventário + RFB","Trimestral após validação","DADO CALCULADO EXPLORATÓRIO","Farmácia/drogaria = 85% no inventário atual","Arquitetura de rede","Não é market share; raiz CNPJ ≠ marca"
"Saúde/higiene","Digital","SLA de primeira resposta","tempo entre primeira mensagem e primeira resposta útil","minutos/horas","Teste padronizado ou CRM","Trimestral/mensal","INDICADOR RECOMENDADO","NÃO DISPONÍVEL","Fricção na jornada digital","Teste público precisa ética/protocolo; CRM preferível"
"Saúde/higiene","Canal","Conversão pesquisa digital→compra","compras originadas por contato/pesquisa digital / contatos digitais rastreáveis × 100","%","CRM/POS voluntário","Mensal","INDICADOR RECOMENDADO","NÃO DISPONÍVEL","Efetividade da presença digital","Atribuição de canal pode ser imperfeita"
"Bens não essenciais","Digital","Atualização de presença","dias desde última atualização relevante de perfil/catálogo","dias","Auditoria pública padronizada","Mensal/trimestral","INDICADOR RECOMENDADO","PRESENÇA NOMINAL AUDITADA; ATUALIDADE PENDENTE","Maturidade digital","Perfis podem ter diferentes finalidades"
"Bens não essenciais","Oferta","Disponibilidade imediata","SKUs/tamanhos/modelos disponíveis no momento / cesta monitorada × 100","%","Auditoria de estoque voluntária","Mensal","INDICADOR RECOMENDADO","NÃO DISPONÍVEL","Vantagem do físico por urgência","Exige cesta comparável por submercado"
"Bens não essenciais","Canal","Conversão digital→loja","compras presenciais atribuídas a contato/consulta digital / contatos digitais rastreáveis × 100","%","CRM/POS","Mensal","INDICADOR RECOMENDADO","NÃO DISPONÍVEL","Medir jornada híbrida","Atribuição requer disciplina de registro"
"Bens não essenciais","Serviço","Prazo de troca","tempo mediano entre solicitação e solução da troca","horas/dias","Dados operacionais","Mensal","INDICADOR RECOMENDADO","NÃO DISPONÍVEL","Redução de risco físico","Políticas variam por categoria"
"Serviços","Resposta","SLA de primeira resposta","tempo mediano da solicitação à primeira resposta útil","minutos/horas","CRM/WhatsApp Business/agenda","Mensal","INDICADOR RECOMENDADO","POM mostra fricção; métrica operacional pendente","Reduzir perda por demora","Comparar só categorias de serviço semelhantes"
