mercado,missao_ou_jornada,evidencia_pom,desenho_pom,estrutura_oferta_local,emprego_renda_ou_demanda,pressao_competitiva,contexto_territorial_atual,interpretacao_integrada,o_que_nao_concluir,lacuna_decisoria,indicadores_acompanhamento,status_analitico
"Bens essenciais","Abastecimento planejado","Preço e promoções orientam comparação; compras maiores admitem maior deslocamento por economia/variedade","12 entrevistas qualitativas em 24/06/2026","54 registros classificados como bens essenciais no cadastro corrente; 52 reconciliados documentalmente; demanda modelada não deve ser dividida por operadores","Varejo 2.824 vínculos RAIS 2024; mediana dez/2024 R$ 2.132,59; demanda residente modelada R$ 234,706 mi/ano para alimentação no domicílio","Divisão 47: 6,63% dos estabelecimentos com matriz externa; 37,46% do emprego e 38,16% da remuneração de dezembro estimados em estruturas externas","PCA-RE Fronteira Oeste ago/2026 R$ 284,19, 4,83% abaixo do RS; renda per capita mediana 2022 R$ 1.100","A missão de abastecimento combina recorrência com busca ativa de economia; operadores de maior escala competem por preço, variedade e capacidade de estoque","Não estimar market share; não inferir que deslocamento significa compra fora de São Borja; PCA COREDE não é preço municipal","Repartição do gasto por formato/canal; ticket; frequência; destino; elasticidade promocional","DIAGNOSTICO_FORTE_LACUNA_MONETARIA"
"Bens essenciais","Reposição rápida / perecíveis","Proximidade, disponibilidade, rapidez e atendimento ganham peso nas compras de reposição","12 entrevistas qualitativas","Rede pulverizada de mercados e especializados; 54 registros classificados no cadastro corrente","Mesma base de renda/vínculos do varejo; recorrência de necessidade","Concorrência de vizinhança + grandes formatos; pressão digital menor que em bens discricionários, porém promoções digitais podem influenciar escolha","PCA/ICA regional permitem acompanhar pressão de preços, não catchment local","Há dois jogos competitivos: estoque mensal e reposição. A reposição favorece operadores capazes de reduzir tempo e fricção","Não inferir fidelidade por bairro nem área de influência sem geocodificação de clientes/vendas","Tempo de fila; ruptura; distância; ticket de reposição; frequência; divergência de preço","OPERACIONALIZAVEL_COM_KPIS_LOCAIS"
"Saúde, higiene e cuidados pessoais","Tratamento / higiene básica","Farmácias amplas aparecem como referência por preço, localização, mix, estacionamento e horário; higiene básica com reposição ~15–20 dias na amostra","12 entrevistas qualitativas, 6 homens/6 mulheres","Inventário nominal POM possui 41 linhas de saúde/higiene: 22 farmácia/drogaria, 9 óticas, 1 médico/ortopédico, 5 perfumarias e 4 cosméticos; 39 linhas têm CNPJ extraível, 37 únicos; há 2 pares duplicados e ao menos 1 CNPJ explicitamente baixado. CNAE86–88 (215 est.) são serviços de saúde/assistência e não varejo","Saúde/assistência = 721 vínculos RAIS 2024; bloco adm+educ+saúde/social = 24,32% dos vínculos e 31,57% da massa remuneratória média","Redes de varejo farmacêutico são salientadas qualitativamente, mas market share não está medido","Base institucional de saúde pode gerar demanda residente e regional; origem de pacientes/clientes não medida","Conveniência funciona como mecanismo de retenção nas compras recorrentes; circuito institucional pode reforçar frequência e centralidade","Não usar 215 estabelecimentos de serviços de saúde como oferta varejista; não atribuir domínio quantitativo às redes","Contagem por CNAE subclasse de farmácias/especializadas; frequência; ticket; origem do cliente; participação por canal","INVENTARIO_VAREJISTA_DISPONIVEL_ATIVIDADE_AUDITAVEL_PENDENTE"
"Saúde, higiene e cuidados pessoais","Beleza / suplementos / maior valor","Especializadas geram confiança técnica; itens caros migram para pesquisa/comparação online e podem ser comprados na internet","12 entrevistas qualitativas","Inventário POM registra 5 perfumarias, 4 linhas de cosméticos, 9 óticas e 1 loja médico/ortopédica; os registros precisam de validação cadastral antes de virar estoque ativo","56,57% dos vínculos formais com remuneração positiva de dezembro estavam até 2 SM no recorte RAIS 2024, contexto de sensibilidade a desembolso","E-commerce concorre por preço/variedade; lojas físicas competem por confiança, curadoria e disponibilidade","POM confirma jornada informacional digital; não há share local/online","Quanto mais discricionário e comparável o item, maior a pressão de canal e a necessidade de diferenciação técnica","Não converter preferência declarada em vazamento monetário; não assumir causalidade da renda sobre canal","Share por canal/categoria; diferença de preço; prazo/frete; pesquisa digital→compra; disponibilidade","LACUNA_CANAL_MONETARIO"
"Bens não essenciais","Jornada digital/híbrida","Perfis digitais valorizam preço/variedade; híbridos usam Google/avaliações e confrontam preço online com disponibilidade física","10 entrevistas qualitativas","Inventário POM: 120 linhas nomeadas, 104 com CNPJ extraível e 103 CNPJs únicos extraíveis; pelo menos 2 linhas anotam CNPJ baixado. Agrupamento exploratório: moda/calçados 61 linhas, pet/agro 22, joias/ótica/relojoaria 11, eletro/mobile 8. RFB 2026-08 confirma âncoras por divisão, mas não substitui auditoria individual","56,57% dos vínculos formais com remuneração positiva de dezembro até 2 SM; varejo mediana R$ 2.132,59 em 2024","Dupla concorrência: e-commerce + centros urbanos superiores; REGIC 2018 Q1/Q2 orienta 26,67% para Porto Alegre em ambos os temas, indicador histórico de ligação, não gasto","Fluxo fronteiriço amplia mercado potencial, mas gasto discricionário de visitantes não medido","Mercado relevante extrapola o município; a vantagem local depende de fechar a compra com menos risco/tempo e boa integração digital-físico","Não somar REGIC + e-commerce; 26,67% não é share de gasto; não inferir mercado atual de 2026 a partir de REGIC 2018","Conversão digital→loja; share de gasto por canal/destino; prazo/frete; urgência; ticket; crédito","DUPLA_CONCORRENCIA_EXTERNA_CONFIRMADA_QUALITATIVAMENTE"
"Bens não essenciais","Jornada física / redução de risco","Ver/tocar/experimentar, troca imediata e crediário reduzem risco; atendimento mecânico e sortimento repetitivo são fricções","10 entrevistas qualitativas","Confecção, móveis, reparação e varejo amplo mostram base local de oferta; matriz local predomina nas divisões industriais selecionadas","Renda formal comprimida aumenta relevância analítica de parcelamento, sem provar causalidade","Redes externas no varejo amplo têm escala formal estimada muito superior à presença cadastral; ratio proxy 8,44 vínculos/ext filial vs local est.","Estratégia física precisa transformar presença local em segurança, disponibilidade e serviço consultivo, não apenas proximidade","Não afirmar disposição a pagar pelo físico nem prevalência populacional do crediário","Disponibilidade; tamanhos/modelos; troca; prazo entrega; uso crédito; NPS/avaliações; conversão","OPERACIONALIZAVEL_COM_KPIS_LOCAIS"
"Serviços","Descoberta, reputação e contratação","Preço 85,0%; atendimento 75,8%; 79,7% sempre/muitas vezes pesquisam online; 90,2% já deixaram de contratar por demora de resposta","Survey online n=153, 22/06–06/07/2026; descritivo da amostra, não inferência populacional","Agrupamento RFB 62+69+71+73+74+82 = 597 estabelecimentos; 97,99% vinculados a matrizes locais","Serviços são heterogêneos; não há uma massa salarial única comparável para o agrupamento","Concorrência digital atua sobretudo na descoberta/reputação; concorrência territorial varia por subserviço","Publicidade/pesquisa de mercado tem 164 CNPJs na divisão 73, mas não equivalem a 164 agências; exige decomposição em classes","A velocidade de resposta e a reputação digital são parte do produto-serviço na fase pré-contratação; tecido local é amplo, mas sua especialização precisa ser decomposta","Não generalizar um padrão único a oficinas, salões, clínicas, assistência técnica etc.; percentuais são da amostra online","Tempo de primeira resposta; conversão lead→contrato; avaliações; no-show; ticket; origem cliente; recorrência por categoria","BASE_LOCAL_AMPLA_HETEROGENEIDADE_ALTA"
"Serviços","Agendamento / automação com opção humana","91,5% usam agendamento digital com frequência ou algumas vezes; 66,0% veem automação como útil se houver opção humana","Survey online n=153; descritivo","597 estabelecimentos no agrupamento B2B/conhecimento; demais serviços pessoais também numerosos, mas categorias não devem ser somadas sem regra","Base de emprego varia por serviço; RAIS pode fechar categorias após definição","Competição ocorre por conveniência operacional e confiança, não apenas preço","POM indica rejeição potencial à automação excessiva; maturidade digital das firmas não medida","Tecnologia deve reduzir fricção de bastidor mantendo acesso humano em pontos críticos","Não concluir que chatbot aumenta vendas ou que automação ótima é igual entre setores","tempo resposta; taxa de agendamento; abandono; contato humano solicitado; satisfação; custo por atendimento","OPERACIONALIZAVEL_COM_TESTES"
"Alimentação fora do lar","Escolha e experiência","55,6% da amostra consome fora ao menos semanalmente; qualidade 95,4%, preço 66,0%, atendimento 58,8%, ambiente 54,2%","Survey online n=153; percentuais descritivos da amostra","RFB 2026-08: 409 estabelecimentos na divisão 56, 4 filiais externas; 99,02% vinculados a matrizes locais","RAIS 2024: 339 vínculos formais; mediana dez/2024 R$ 1.994,43","Base competitiva cadastral majoritariamente local; concorrência pode ocorrer por experiência, preço, delivery e reputação","Fluxo fronteiriço e eventos ampliam ocasiões potenciais; captura de visitantes ainda não medida","A oferta é numerosa e localmente enraizada em cadastro, mas a diferenciação depende de qualidade, experiência, conveniência e reputação","Não tratar 409 CNPJs como restaurantes comparáveis; não inferir informalidade pela diferença CNPJ×RAIS; 55,6% não é prevalência municipal","ticket; ocasião; origem cliente; ocupação por horário; qualidade percebida; margem; recompra","CAPACIDADE_LOCAL_DE_OFERTA_FORTE_CAPTURA_VISITANTE_PENDENTE"
"Alimentação fora do lar","Descoberta digital / delivery / hospitalidade","92,8% já escolheram local após conteúdo social; 94,2% usam com frequência ou já usaram delivery; 98,1% atribuem importância ao atendimento humanizado; 81,7% valorizam hospitalidade/tradição/cultura local","Survey online n=153; descritivo da amostra","CNAE56 409 est.; atividades culturais/recreativas selecionadas adicionam oferta de ocasiões, mas não devem ser somadas ao mercado de alimentação","RAIS 2024 e RFB 2026 têm períodos/universos distintos","Concorrência combina presença digital, conveniência de entrega e experiência física","Programa municipal de turismo e fluxo fronteiriço dão contexto, não demanda medida","O diferencial local pode combinar descoberta digital com identidade/hospitalidade; a conversão de fluxo externo é a variável crítica ainda ausente","Não inferir causalidade entre conteúdo e visita; não transformar fluxo da ponte em clientes","conversão conteúdo→visita; delivery por bairro; origem residente/visitante; ticket; avaliações; eventos","PRIORIDADE_CAPTURA_EXTRALOCAL"
