regra_tipo,valor_origem,grupo_harmonizado,racional,aplicacao
ROTULO_ORIGINAL,Agropecuária,PET_VETERINARIA_AGRO,"Rótulos cujo núcleo é pet, veterinária, rações ou agropecuária.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,"Agroveterinária (artigos de pesca, camping, ferragem e animais.",PET_VETERINARIA_AGRO,"Rótulos cujo núcleo é pet, veterinária, rações ou agropecuária.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Agroveterinária e loja de ferragens,MISTO_MULTISSEGMENTO,Rótulo original cruza dois grupos analíticos sem base suficiente para forçar primazia.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Joalheria,JOALHERIA_OPTICA_RELOJOARIA,"Joalheria, óptica e relojoaria consolidadas em um grupo especializado.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Joalheria e loja de roupas,MISTO_MULTISSEGMENTO,Rótulo original cruza dois grupos analíticos sem base suficiente para forçar primazia.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Joalheria e Ótica,JOALHERIA_OPTICA_RELOJOARIA,"Joalheria, óptica e relojoaria consolidadas em um grupo especializado.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de acessórios para dispositivos móveis,ACESSORIOS_DISPOSITIVOS_MOVEIS,Acessórios para dispositivos móveis.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de artigos de armarinho,ARMARINHO_TECIDOS,Armarinho/tecidos.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,"Loja de artigos de armarinho (Obs. cnpj baixado, mas redes sociais ativas com ofertas)",ARMARINHO_TECIDOS,Armarinho/tecidos.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Artigos Militares,ARTIGOS_MILITARES,Artigos militares.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,"Loja de comércio varejista de mercadorias em geral, com predominância de produtos alimentícios",,,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,"Loja de confRoupas, Sapatos e Assessórios",MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de departamento e Papelaria,MISTO_MULTISSEGMENTO,Rótulo original cruza dois grupos analíticos sem base suficiente para forçar primazia.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de eletrodomésticos e equipamentos de áudio e vídeo,ELETRODOMESTICOS_AUDIO_VIDEO,Especialização explícita em eletrodomésticos e áudio/vídeo.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Ferragens e Ferramentas,FERRAGENS_MATERIAIS_ELETRICOS,"Ferragens, ferramentas e materiais elétricos.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Materiais Eletricos e Ferragens,FERRAGENS_MATERIAIS_ELETRICOS,"Ferragens, ferramentas e materiais elétricos.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de móveis,MOVEIS,Móveis.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de presentes,CASA_UTILIDADES_PRESENTES_DECORACAO,"Casa, utilidades, presentes e decoração; Tottal foi resolvida por fonte de primeira parte.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de presentes e decorações,CASA_UTILIDADES_PRESENTES_DECORACAO,"Casa, utilidades, presentes e decoração; Tottal foi resolvida por fonte de primeira parte.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
