grupo_analitico,storefronts_base,share_storefronts_pct,operator_keys,share_unidades_raizes_multi_pct,cobertura_pom_local,cobertura_regic,evidencia_demanda_comportamento,interpretacao_oferta_demanda,implicacao_mercadologica,lacuna_principal,natureza
MODA_CALCADOS_ACESSORIOS,57,46.72,51,17.54,DIRETA_PARA_MECANISMOS_DE_MODA_CALCADOS,DIRETA_Q1,"POM n=10: preço/variedade favorecem online; busca digital antecede parte da compra; ver/tocar/experimentar reduz risco; troca, crediário e imediatismo favorecem o físico; fricções de presença digital, atendimento e sortimento foram relatadas.","É o maior grupo físico do cenário e combina ampla pulverização de operadores com algumas raízes multimarca. A concorrência relevante é simultaneamente local, territorial e digital.","Tornar disponibilidade, preço/condições, troca, crediário e experimentação visíveis antes da visita; não competir apenas por preço.",Gasto por canal/destino; auditoria de preço e sortimento; conversão digital→loja.,CALCULADO_OFERTA + INDICIO_QUALITATIVO_LOCAL + REGIC_OBSERVADO
PET_VETERINARIA_AGRO,20,16.39,19,10.00,GERAL_BNE_NAO_CATEGORIA_ESPECIFICA,SEM_COBERTURA_DIRETA,"POM local fornece mecanismos gerais de busca, preço, atendimento e jornada híbrida, mas não dimensiona demanda pet/agro por categoria.","Segundo maior grupo em unidades, porém com pouca evidência local específica de demanda proporcional ao peso observado da oferta.","Tratar o grupo como prioridade de conhecimento: separar pet, veterinária, rações e agro antes de inferir comportamento específico.","Frequência de compra, gasto, recorrência, mix pet×agro, canal e sensibilidade a preço em São Borja.",CALCULADO_OFERTA + EVIDENCIA_LOCAL_GERAL_COM_LACUNA_CATEGORIAL
JOALHERIA_OPTICA_RELOJOARIA,12,9.84,12,0.00,GERAL_BNE_NAO_CATEGORIA_ESPECIFICA,SEM_COBERTURA_DIRETA,"POM local sustenta mecanismos gerais de pesquisa, risco, atendimento e comparação, sem resultado específico para joalheria/óptica/relojoaria.",Oferta totalmente pulverizada em chaves de um único ponto dentro do grupo; a demanda específica não está observada localmente.,"Evitar extrapolar atributos de moda ou eletro; testar diferenciação por confiança, serviço e disponibilidade apenas como hipótese operacional.","Motivações de compra, ticket, periodicidade, papel de prescrição/serviço técnico, canal digital.",CALCULADO_OFERTA + EVIDENCIA_LOCAL_GERAL_COM_LACUNA_CATEGORIAL
CASA_UTILIDADES_PRESENTES_DECORACAO,7,5.74,7,0.00,PARCIAL_MOBILIARIO_E_TANGIBILIDADE,PARCIAL_Q2_APENAS_PARA_MOVEIS_E_ELETRO,"POM menciona mobiliário na redução de risco por ver/tocar; resultados gerais cobrem busca e comparação. REGIC Q2 cobre móveis/eletroeletrônicos, não presentes e decoração em geral.",Grupo analítico é mais amplo do que a evidência temática disponível; a oferta é pulverizada.,Usar evidência de tangibilidade apenas para subcategorias compatíveis e manter presentes/decoração como leitura separada quando necessário.,"Demanda específica por presentes/decoração e separação interna entre utilidades, mobiliário e presenteáveis.",CALCULADO_OFERTA + COBERTURA_PARCIAL
ELETRODOMESTICOS_AUDIO_VIDEO,7,5.74,5,57.14,GERAL_BNE_COM_APLICACAO_A_BENS_DURAVEIS,DIRETA_Q2,"POM: preço/variedade online, urgência/imediatismo físico, busca digital, crediário/troca e fricção informacional. REGIC Q2 compara móveis/eletrodomésticos/eletrônicos.",A estrutura local em unidades é mais 'rede-intensiva' do que moda: 4 dos 7 pontos pertencem a duas raízes multiunidade.,"Competição deve considerar escala de rede e plataformas, mas também entrega imediata, crédito, instalação/suporte e redução do risco de espera.","Preço entregue, prazo real, estoque local, participação por canal e faturamento por operador.",CALCULADO_OFERTA + INDICIO_QUALITATIVO_LOCAL + REGIC_OBSERVADO
MISTO_MULTISSEGMENTO,5,4.10,5,0.00,GERAL_BNE,NAO_COMPARAVEL_COMO_GRUPO_UNICO,"POM local cobre jornada híbrida de bens não essenciais, mas o grupo mistura categorias com lógicas diferentes.",A agregação é metodológica para evitar atribuição arbitrária; não deve virar um 'mercado' homogêneo.,Desagregar por missão de compra sempre que a decisão depender de categoria.,Mix real de cada operação e peso de cada categoria nas vendas.,CALCULADO_OFERTA + GRUPO_DE_CONTROLE
LOJA_FRANCA_DUTY_FREE,3,2.46,1,100.00,GERAL_BNE,SEM_COBERTURA_REGIC_DIRETA,"O caderno reconhece lojas francas/fronteira como pressão externa e alternativa de compra, mas não mede gasto capturado nem fluxo por categoria.","Três storefronts pertencem à mesma raiz; isso é concentração em unidades jurídicas/operacionais dentro do recorte, não market share.",Analisar como arquitetura própria de varejo fronteiriço; separar presença física de captura monetária.,"Fluxo de clientes, origem, ticket, mix, parcela de residentes e visitantes, gasto que cruza fronteira.",CALCULADO_OFERTA + CONTEXTO_FRONTEIRICO_SEM_GASTO
ARMARINHO_TECIDOS,2,1.64,2,0.00,GERAL_BNE,SEM_COBERTURA_DIRETA,"POM fornece apenas mecanismos gerais de busca, preço, atendimento e canal.",Pequeno grupo em unidades; não há base local específica de demanda.,Manter como nicho separado quando analisar missão de compra.,"Gasto, recorrência, públicos profissionais/domésticos e substitutos online.",CALCULADO_OFERTA + EVIDENCIA_GERAL
DEPARTAMENTOS_MAGAZINES,2,1.64,2,0.00,GERAL_BNE,PARCIAL_POR_MIX,"Mecanismos gerais de preço, variedade, urgência, crediário e busca digital são pertinentes, mas o mix é amplo.",Duas operações independentes; comparação temática depende do mix efetivo.,Tratar como varejo amplo e evitar imputar comportamento de uma única categoria.,Composição do mix e vendas por departamento.,CALCULADO_OFERTA + EVIDENCIA_GERAL
FERRAGENS_MATERIAIS_ELETRICOS,2,1.64,2,0.00,GERAL_BNE,SEM_COBERTURA_DIRETA,POM local não oferece demanda específica para ferragens/materiais elétricos.,Oferta pequena em unidades dentro deste inventário BNE.,Não extrapolar comportamento de moda/eletro; considerar missão funcional e urgência apenas como hipótese a verificar.,"Perfil de comprador, profissional×doméstico, urgência, ticket e canal.",CALCULADO_OFERTA + LACUNA_CATEGORIAL
