grupo_indicador,indicador_exemplo,geografia_confirmada,periodo_exemplo,unidade,fonte_primaria_confirmada_por_indicador,produtor_transformacao,status,uso_sbmi,limitacao
"Empresas","Número de empresas/CNPJs","Município","2026-04","unidades","PENDENTE","IFEP-RS","Indicador exibido; fonte-indicador ainda não transcrita","Demografia empresarial e densidade setorial","Material de lançamento confirma Receita Federal entre fontes da plataforma, mas não autoriza vinculação automática deste indicador"
"Empresas","Variação do número de empresas","Município","1º quadrimestre/2026","%","PENDENTE","IFEP-RS","Indicador exibido","Dinâmica empresarial","Não confundir variação de estoque com taxa de sobrevivência/mortalidade"
"Empresas","Optantes do Simples Nacional","Município","2026-04","% dos CNPJs","PENDENTE","IFEP-RS","Indicador exibido","Perfil empresarial e porte/regime","Fonte específica ainda não confirmada na rota dinâmica"
"Empresas","MEI","Município","2026-04","registros","PENDENTE","IFEP-RS","Indicador exibido","Microempreendedorismo e estrutura empresarial","Fonte específica ainda não confirmada"
"Empresas","Tempo médio de atividade das empresas","Região/atividade; município a validar","A auditar","tempo","PENDENTE","IFEP-RS","INDICADOR PRÓPRIO confirmado institucionalmente","Maturidade/renovação empresarial","Definição e fórmula ainda não recuperadas"
"Empresas","Concentração territorial","Região/atividade; município a validar","A auditar","A auditar","PENDENTE","IFEP-RS","INDICADOR PRÓPRIO confirmado institucionalmente","Concentração espacial e polos","Definição/fórmula ainda não recuperadas"
"Trabalho","Empregos/contratos formais","Município","2026","vínculos/contratos","PENDENTE","IFEP-RS","Indicador exibido; MTE confirmado como fonte geral da plataforma","Mercado de trabalho local e setorial","Não vincular automaticamente a RAIS ou Novo Caged sem metadado"
"Trabalho","Participação feminina no emprego formal","Município","2026","%","PENDENTE","IFEP-RS","Indicador exibido","Perfil do trabalho e consumidores","Universo/competência exata ainda não transcritos"
"Trabalho","Tempo médio de contrato","Município","2026","meses","PENDENTE","IFEP-RS","Indicador exibido","Estabilidade do emprego","Definição do tempo médio ainda não recuperada"
"Trabalho","Faixa de horas semanais","Município","2026","%","PENDENTE","IFEP-RS","Indicador exibido","Perfil do emprego e disponibilidade de renda/tempo","Base específica não transcrita"
"Trabalho","Emprego segundo opção da empresa pelo Simples Nacional","Município","2026","%","PENDENTE","IFEP-RS","Indicador exibido","Estrutura do emprego por perfil empresarial","Exige definição da integração empresa-vínculo"
"Trabalho","Rotatividade","Município","2026","%","PENDENTE","IFEP-RS","INDICADOR PRÓPRIO confirmado institucionalmente e exibido","Estabilidade e custos de reposição da força de trabalho","Fórmula do IFEP ainda não recuperada; não comparar com outras taxas de turnover"
"Trabalho","Remuneração média","Município","2024","R$/mês","PENDENTE","IFEP-RS","Indicador exibido","Renda do trabalho e capacidade de consumo","Exemplo publicado informa última divulgação 2024; base/fórmula não transcritas"
"Trabalho","Remuneração por características individuais/ocupacionais","Município","2024","R$/mês","PENDENTE","IFEP-RS","Indicador exibido","Segmentação do trabalho","Pode envolver sigilo/pequenas células; usar apenas agregados publicados"
"Atividade econômica","Vendas","Setor/região; município a validar","A auditar","A auditar","PENDENTE","IFEP-RS","Dimensão confirmada por apresentação institucional","Mercado e desempenho setorial","Fonte, unidade e conceito de vendas ainda não transcritos"
"Atividade econômica","Receitas","Região/atividade","A auditar","A auditar","PENDENTE","IFEP-RS","Dimensão confirmada institucionalmente","Escala econômica","Não assumir equivalência com faturamento fiscal, PMC ou receita contábil"
"Atividade econômica","Despesas","Região/atividade","A auditar","A auditar","PENDENTE","IFEP-RS","Dimensão confirmada institucionalmente","Estrutura econômica/custos","Fonte e conceito ainda não transcritos"
