fonte,produtor,fonte_primaria_insumo,menor_geografia_publica_confirmada,sao_borja_direto,periodicidade,uso_principal_sbmi,status,limitacao_principal,url
"Boletim Econômico-Tributário (BET)","Receita Estadual RS","Sistemas Receita Estadual; NFe/NFC-e em indicadores específicos","Município / COREDE / RS","Parcial: granularidade municipal existe, mas São Borja não aparece no quadro municipal de agosto/2026","Mensal desde ed. 09","Atividade econômica e demografia de estabelecimentos","Exploratório — agosto/2026 extraído; Fronteira Oeste disponível","Edição recebida não fornece valor municipal de São Borja no quadro exibido","https://receitadoc.sefaz.rs.gov.br/boletins/"
"Preços Dinâmicos","Receita Estadual RS","NFC-e + Cadastro de Contribuintes + POF/IBGE para seleção/ponderação","COREDE / RS","Não na publicação","Diária e mensal","Preços regionais, sazonalidade, pressão sobre consumo","Exploratório — agosto/2026 extraído para Fronteira Oeste e RS","Não representar como preço municipal; boletim 2026 informa 30 subgrupos e NT 01/2026 registrava 29","https://receitadados.sefaz.rs.gov.br/desenvolve-rs/precos-dinamicos-da-re/"
"PCA-RE-r / ICA-RE-r por faixa de renda","Receita Estadual RS","NFC-e + POF/IBGE Tabela 6972","COREDE / RS","Não na publicação","Mensal","Inflação alimentar e custo de cesta por faixa de renda","Exploratório — metodologia auditada + agosto/2026 extraído","Pesos fixos da POF; não equivalem à distribuição municipal corrente de renda","https://receitadoc.sefaz.rs.gov.br/boletins/"
"Cesta Nutricional Familiar","Receita Estadual RS + PUCRS DataSocial + GPCA/PUCRS","NFC-e + composição nutricional/modelagem","COREDE / RS","Não na publicação","Painel; relatórios mensais em 2026","Custo alimentar por perfil familiar e pressão sobre renda","Exploratório — 3A concluída","Modelo regional, não gasto efetivo municipal","https://receitadados.sefaz.rs.gov.br/desenvolve-rs/cesta-nutricional-familiar/"
"Radar do Mercado","Receita Estadual RS","NFe como base principal + MDIC/Siscomex para rastreabilidade de comércio exterior","RS / OUF / país; sem município documentado na NT 05/2026","Não na metodologia corrente documentada","Mensal","Demanda, origem da oferta, fluxos, concorrência, dependência externa","Exploratório — NT 05/2026 integral auditada; Dados Abertos confirmados; valores NCM do arroz pendentes","Camada corrente é estadual/nacional/internacional; evidência municipal preservada apenas como histórica","https://receitadados.sefaz.rs.gov.br/desenvolve-rs/radar-do-mercado-da-receita-estadual/"
"BET Comércio Exterior","Receita Estadual RS","NFe + MDIC/Siscomex; conversão cambial BACEN em tabelas monetárias","COREDE / RS / blocos / países / produtos","Não municipal; COREDE confirmado","Mensal","Importações, exportações, produtos, parceiros e ambiente externo","Exploratório — ed.07 agosto/2026 extraída; Fronteira Oeste confirmada","Produtos agregados podem ser mais amplos que cadeias locais; tratamento de sigilo fiscal","https://receitadoc.sefaz.rs.gov.br/boletins/"
"Volume de Vendas da Indústria do RS","Receita Estadual RS / DIEF","Dados fiscais estaduais; classificação por atividade e destino de vendas","RS","Não","Trimestral; séries mensais internas","Conjuntura industrial, mercados de destino e benchmark setorial","Exploratório — ed.02/2025 + ed.03/1T2026 auditadas","Estadual; não usar como desempenho industrial de São Borja","https://receitadoc.sefaz.rs.gov.br/boletins/"
"Observatório do Comércio","Fecomércio-RS / IFEP-RS","Receita Federal e Ministério do Trabalho confirmados; outras fontes pendentes de transcrição direta","Município em pelo menos parte dos indicadores","Parcial / confirmado em emprego","A auditar","Demografia empresarial, trabalho, receitas/despesas e indicadores próprios IFEP","Exploratório — matriz de indicadores + gap v028 concluídos; teste direto São Borja pendente","Plataforma secundária/integradora; preservar fonte primária quando já canônica","https://observatorio.fecomercio-rs.org.br/page/home"
"IRGA — produção de arroz","Instituto Rio Grandense do Arroz / SEAPI-RS","Levantamentos de safra do IRGA","Município / NATE / região arrozeira / RS","Sim","Safra; acompanhamento semanal durante ciclo","Capacidade produtiva física municipal da cadeia do arroz","Exploratório — piloto do arroz auditado","Produção física não mede demanda, faturamento, VAB ou market share","https://www.agricultura.rs.gov.br/encerrada-a-colheita-do-arroz-no-rio-grande-do-sul"
"RS360 / Painel RS360","Receita Estadual RS","Documentos fiscais eletrônicos e indicadores Desenvolve RS","RS / setores econômicos","Não diretamente","Mensal","Vendas, compras, valor adicionado, investimentos e destinos por setor","Exploratório — arroz com baseline auditado","Classificação setorial não equivale a NCM nem a município","https://receitadoc.sefaz.rs.gov.br/revista-rs360/"
"Comex Stat / Dados Abertos","MDIC / SECEX","Registros oficiais de comércio exterior","UF por NCM; município do domicílio fiscal por SH4","Sim, em SH4 1006","Mensal","Exportações/importações, países, peso e valor FOB","Exploratório — plano de extração pronto","Município é domicílio fiscal da empresa; não origem física do produto","https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta"
"Comex Stat — comércio exterior municipal","MDIC / SECEX","Declarações de comércio exterior consolidadas nas estatísticas oficiais","Município + SH4; NCM apenas sem município","Sim, por domicílio fiscal","Mensal","Destinos/origens externas, valor FOB e kg líquido da cadeia do arroz","Exploratório — piloto arroz preparado; extração pendente","Município é domicílio fiscal do declarante; município+NCM 8 dígitos não é divulgado por sigilo","https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta"
"DEE/SPGG-RS — Indicadores do agronegócio / exportações","Departamento de Economia e Estatística — SPGG-RS","Comex Stat/MDIC + elaboração DEE","Rio Grande do Sul; NCM em tabelas selecionadas","Não","Trimestral","Fallback oficial para exportações estaduais por NCM e contexto recente da cadeia do arroz","Exploratório — fallback não Radar; 3 NCMs do piloto recuperados em 3T2024","Exportações não equivalem a demanda interna, origem da oferta, dependência externa ou market share do Radar","https://dee.rs.gov.br/upload/arquivos/202502/18160426-nt-dee-102-indicadores-do-agronegocio-do-rs-exportacoes-e-emprego-formal-no-3-trimestre-de-2024.pdf"
