dominio,arquivo,caminho,papel_no_pacote,status_promocao,periodo,geografia,fonte_base,linhagem,git_blob_sha,tamanho_bytes,limitacao_central
Territorial,analise_multissetorial_territorial_20260918_v001.csv,docs/data_sources/analise_multissetorial_territorial_20260918_v001.csv,síntese técnica transversal,PROMOVIDO_PUBLICAVEL,2022–2026,São Borja/RS,bases territoriais auditadas SBMI,fontes oficiais → análises temáticas → síntese multissetorial,5a80d6c1c15fd540669e30ee4b651add1b557c1e,10631,síntese não substitui fontes primárias nem autoriza somar universos distintos
Trabalho/renda,rais_2024_perfil_complementar_fecomercio_v001.csv,docs/data_sources/rais_2024_perfil_complementar_fecomercio_v001.csv,suporte técnico de emprego/remuneração,PROMOVIDO_PUBLICAVEL,2024,São Borja/RS,MTE/RAIS,microdados RAIS → recorte São Borja → perfil complementar,25d74733b463688b7d7f71da6e5c2b75d230aaf9,5874,"vínculo não equivale a pessoa, domicílio ou renda familiar"
Empresas,estrutura_empresarial_ancoras_202608_v001.csv,docs/data_sources/estrutura_empresarial_ancoras_202608_v001.csv,estrutura cadastral empresarial,PROMOVIDO_PUBLICAVEL,2026-08,São Borja/RS,RFB/CNPJ + consolidação SBMI,cadastro RFB → recorte territorial → âncoras estruturais,6c41242f20b0f7d2244d3adac59ddca0ac51c1a4,9493,"cadastro/estabelecimento não equivale a atividade corrente, vendas ou propriedade última"
Fronteira,antt_trc_sao_borja_fronteira_2023_2025_v001.csv,docs/data_sources/antt_trc_sao_borja_fronteira_2023_2025_v001.csv,série contextual de transporte fronteiriço,PROMOVIDO_PUBLICAVEL,2023–2025,São Borja/fronteira,ANTT,fonte ANTT → recorte São Borja/fronteira → série comparável,fc3062e207e520a931a8b18f58200abbeacf41b0,937,"fluxo de transporte não equivale a gasto, permanência ou mercado consumidor"
Fronteira,fronteira_triangulacao_fluxos_20260918_v001.csv,docs/data_sources/fronteira_triangulacao_fluxos_20260918_v001.csv,triangulação de fluxos,PROMOVIDO_PUBLICAVEL,2022–2025,São Borja/fronteira,MPO/Mercovia/ANTT e fontes documentadas,fontes heterogêneas → harmonização conceitual → triangulação,8ba47d93f0ac6ae8aaa0d8e2b49d98a01f0f90e8,1443,indicadores de circulação têm unidades distintas e não podem ser somados
Saúde/higiene,farmacias_cnes_pom_crosswalk_20260922_v001.csv,docs/data_sources/farmacias_cnes_pom_crosswalk_20260922_v001.csv,crosswalk institucional corrente,PROMOVIDO_DOSSIE_AUDITORIA,22/09/2026,São Borja/RS,CNES/DATASUS + inventário POM,CNES privado → CNPJ/raiz → cruzamento com inventário POM,e4aba6935483e17e8a62a9326897bd01348c4ba1,6865,23 registros não constituem censo exaustivo; Agafarma sinaliza possível subcobertura; unidade não é market share
BNE,bens_nao_essenciais_storefronts_reconciliados_20260924_v003.csv,docs/data_sources/bens_nao_essenciais_storefronts_reconciliados_20260924_v003.csv,base física reconciliada,PROMOVIDO_DOSSIE_AUDITORIA,24/09/2026,São Borja/RS,inventário POM + evidências documentais,inventário original → reconciliação → cenário-base/sensibilidade,9d3b1542b0ce6f977613bba6596fe862365953af,63726,122/121 são cenários reconciliados; 120→122 não é crescimento; storefront ≠ CNPJ ≠ market share
BNE,bens_nao_essenciais_taxonomia_harmonizada_20260924_v001.csv,docs/data_sources/bens_nao_essenciais_taxonomia_harmonizada_20260924_v001.csv,taxonomia analítica,PROMOVIDO_DOSSIE_AUDITORIA,24/09/2026,São Borja/RS,SBMI,storefronts reconciliados → classificação harmonizada,793b252637a99108a8cd3b7df77692aff96dbd70,11426,"taxonomia é analítica do projeto, não classificação oficial CNAE"
BNE,bens_nao_essenciais_operadores_raizes_20260924_v001.csv,docs/data_sources/bens_nao_essenciais_operadores_raizes_20260924_v001.csv,consolidação por raiz econômica,PROMOVIDO_DOSSIE_AUDITORIA,24/09/2026,São Borja/RS,RFB/CNPJ + reconciliação SBMI,CNPJ corrente/referência → raiz de 8 dígitos → operator_key,e1731b337c2f91a94300e3078e40cc79a726f69e,49703,raiz econômica e operator_key não equivalem a participação econômica
BNE,bens_nao_essenciais_concentracao_unidades_20260924_v001.csv,docs/data_sources/bens_nao_essenciais_concentracao_unidades_20260924_v001.csv,estrutura descritiva de unidades,PROMOVIDO_PUBLICAVEL_AGREGADO,24/09/2026,São Borja/RS,SBMI,operadores/raízes → contagem de unidades → medidas descritivas,a32725a65cfaae47705c17e5d29b960a1b605acb,1778,índice de unidades não é HHI de market share e não deve usar limiares antitruste
BNE,bens_nao_essenciais_raizes_multiunidade_20260924_v001.csv,docs/data_sources/bens_nao_essenciais_raizes_multiunidade_20260924_v001.csv,raízes multiunidade,PROMOVIDO_DOSSIE_AUDITORIA,24/09/2026,São Borja/RS,SBMI,operator_keys → identificação de raízes com mais de uma unidade,547db96b641da38de3765ee181bffca253ca52fe,3171,contagem de unidades não mede faturamento ou poder de mercado
BNE,bens_nao_essenciais_estrutura_operadores_por_grupo_20260924_v001.csv,docs/data_sources/bens_nao_essenciais_estrutura_operadores_por_grupo_20260924_v001.csv,estrutura agregada por grupo,PROMOVIDO_PUBLICAVEL_AGREGADO,24/09/2026,São Borja/RS,SBMI,taxonomia + operator_keys → estrutura por grupo,4a6122a590cea0cd91da64d243909ae73874d7c9,3673,estrutura física por grupo não mede participação monetária
BNE,bens_nao_essenciais_integracao_oferta_demanda_20260924_v001.csv,docs/data_sources/bens_nao_essenciais_integracao_oferta_demanda_20260924_v001.csv,integração oferta × evidência de demanda,PROMOVIDO_PUBLICAVEL_AGREGADO,2018–2026,São Borja/RS,SBMI + POM + REGIC,oferta reconciliada → correspondência temática → integração com POM/REGIC,ca8014c46797b2e4d0c9d6d92f8727b3197383be,8104,REGIC só é usada em temas compatíveis e não mede gasto
