secao,trecho_ou_tese_v001,acao_editorial,evidencia_nova,redacao_proposta,natureza,limitacao
7. Estrutura empresarial e varejo,"A presença cadastral externa é pequena no G47, mas o peso estimado em emprego/remuneração é maior.",MANTER_COM_RESTRICAO,A nova auditoria de BNE usa storefronts reconciliados e operator_keys; G47 permanece mais amplo que BNE.,Manter o bloco G47 como contexto estrutural amplo e acrescentar que ele não substitui a mensuração setorial de storefronts BNE.,OBSERVADO/CALCULADO + CONTEXTO,Não comparar diretamente G47 com os 122 storefronts BNE como se fossem o mesmo universo.
7. Estrutura empresarial e varejo,Não havia contagem reconciliada da oferta física BNE.,ADICIONAR,Cenário-base: 122 storefronts; sensibilidade conservadora: 121; 109 operator_keys no cenário-base; 8 raízes multiunidade; 21 storefronts nessas raízes.,"A oferta física reconciliada de BNE é de 121–122 storefronts. No cenário-base, 122 unidades se distribuem por 109 chaves de operador; oito raízes possuem mais de um storefront.",CALCULADO_EXPLORATORIO,"Não é censo oficial, market share ou série histórica."
7. Estrutura empresarial e varejo,Quantidade de lojas poderia ser lidaida de forma agregada.,ATUALIZAR,Taxonomia harmonizada: moda 57; pet/agro 20; joalheria/óptica/relojoaria 12; casa/utilidades 7; eletro 7; demais grupos menores.,"A estrutura da oferta é heterogênea e deve ser lida por grupos mercadológicos, não apenas pelo total de pontos.",CALCULADO_EXPLORATORIO,"Classificação analítica, não CNAE oficial."
17. Matriz competitiva,Matriz apresenta vantagens do físico e pressões externas de forma geral.,MANTER_E_ESTRATIFICAR,Integração oferta×demanda mostra arquiteturas distintas por grupo.,"Manter a matriz geral como síntese transversal, mas acrescentar uma leitura por grupo: moda = pulverização + digital/territorial; eletro = maior peso de redes; pet/agro = grande oferta com pouca evidência local específica; duty free = uma raiz em três pontos.",INTERPRETACAO_BASEADA_EM_EVIDENCIAS,Não transformar diferenças de unidades em diferenças de faturamento.
18. Diagnóstico,BNE é exposto à concorrência geográfica + digital.,MANTER_COM_ESCOPO,"64 dos 122 storefronts (52,46%) estão em dois grandes grupos com correspondência REGIC direta: moda/calçados e eletro/áudio-vídeo.","A dupla concorrência territorial e digital é diretamente sustentada para os grupos alinhados a REGIC Q1/Q2 e qualitativamente plausível para o restante, sem igual grau de evidência.",CALCULADO + REGIC + INDICIO_QUALITATIVO,"Não aplicar REGIC diretamente a pet, joalheria, papelaria, duty free ou outros nichos."
18. Diagnóstico,"O varejo local não perde competitividade apenas por preço; informação, sortimento, risco, tempo, crédito e atendimento importam.",MANTER,POM_evidencias e Jornada_canais permanecem consistentes com a nova estrutura de oferta.,"Preservar a tese, explicitando que os mecanismos vêm de n=10 qualitativo e não têm peso populacional.",INDICIO_QUALITATIVO,Sem percentuais municipais.
19. Recomendações,Profissionalizar catálogo e atendimento digital; reduzir tempo de resposta; comunicar disponibilidade/troca/crediário.,MANTER_MAS_PRIORIZAR_POR_GRUPO,Moda e eletro têm evidência POM + correspondência REGIC mais direta; outros grupos têm evidência comportamental apenas geral.,"Apresentar essas recomendações como prioridade muito alta para moda e bens duráveis; para os demais grupos, tratá-las como práticas transversais a validar conforme a jornada específica.",RECOMENDACAO_BASEADA_EM_EVIDENCIAS,Efeito sobre vendas não foi medido.
20. Limites informacionais,"Não calcular market share, gasto em e-commerce, gasto fora do município, faturamento ou retenção monetária.",MANTER_E_REFORCAR,A nova contagem de unidades e operator_keys não resolve nenhuma dessas lacunas monetárias.,Acrescentar explicitamente: participação em unidades não é proxy de market share.,LIMITACAO_METODOLOGICA,Bloqueio a interpretações monetárias.
Contexto — fronteira/free shops,"Free shops aparecem como pressão externa/alternativa, sem quantificação de gasto.",ATUALIZAR_COM_OFERTA,Três storefronts reconciliados de loja franca pertencem à mesma raiz Brasil Free Shop.,"Há três storefronts de loja franca no universo reconciliado, todos sob a mesma raiz. Isso descreve a estrutura de oferta documentada, não a captura de gasto de residentes, visitantes ou argentinos.",CALCULADO_OFERTA + CONTEXTO,Não inferir market share ou fluxo monetário.
Contexto — mercado pet,Humanização pet aparece como tendência externa + hipótese local.,ATUALIZAR_COM_LACUNA,"PET_VETERINARIA_AGRO é o segundo maior grupo físico: 20 storefronts, 19 operator_keys.","A relevância física do grupo é observada na oferta, mas a base local não mede frequência, gasto, recorrência ou canal; benchmarks pet devem permanecer contextuais.",CALCULADO_OFERTA + HIPOTESE_CONTEXTUAL,Não afirmar resiliência ou crescimento econômico local do pet.
Contexto — universidades e nichos,Papelarias podem ser influenciadas por fluxos estudantis; não há market size estudantil.,MANTER,Taxonomia reconciliada identifica 2 storefronts de papelaria.,"A oferta observada de papelarias é pequena no recorte, mas isso não mede o mercado estudantil nem exclui vendas de papelaria em operações mistas.",CALCULADO_OFERTA + HIPOTESE_CONTEXTUAL,Não inferir demanda pela contagem de lojas.
Contexto — agronegócio/sazonalidade,Safra pode repercutir em bens de maior valor; hipótese dos autores.,MANTER_COM_SEPARACAO,"Grupo PET_VETERINARIA_AGRO tem 20 storefronts, mas agrega pet, veterinária, rações e agro.",Não usar a dimensão da oferta pet/agro como evidência de efeito da safra. Preservar a sazonalidade como hipótese a confrontar com dados empresariais internos.,HIPOTESE,Correlação/causalidade não demonstradas.
Respostas analíticas,A baixa presença cadastral externa não significa domínio econômico local.,MANTER,"Nova estrutura mostra 109 operator_keys para 122 pontos e apenas 8 raízes multiunidade, mas isso continua sendo uma métrica de unidades.",Acrescentar que a pulverização de storefronts também não prova desconcentração econômica.,INTERPRETACAO,"Porte, vendas, área e estoque não são medidos."
Respostas analíticas,Qual recomendação mais sustentada: tornar informação/disponibilidade/vantagens físicas visíveis no digital.,MANTER_COM_PRIORIZACAO,Oferta×demanda identifica moda e eletro como áreas de maior aderência direta a essa recomendação.,"Manter como recomendação transversal, destacando que sua sustentação empírica é mais forte em moda/calçados e bens duráveis cobertos pelo POM/REGIC.",RECOMENDACAO_BASEADA_EM_EVIDENCIAS,Não universalizar o mesmo efeito por categoria.
