operador,cnpj,cluster_id,operator_source_status,presenca_local,familia_produto_generica,experiencia_b2g,produto_equivalente,escala_estoque,prazo_logistica,habilitacao,preco_entregue,participacao_pe39,gate_status,nota
Iluminar Materiais Elétricos e Ferragens,09.674.510/0001-19,T01,CURRENT_INVENTORY_CASE_EVIDENCE,OBSERVED,OBSERVED,OBSERVED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,"Caso documental mais completo; não usar como proxy territorial. Match Cigame é upstream, não equivalência local."
Iluminar Materiais Elétricos e Ferragens,09.674.510/0001-19,T02,CURRENT_INVENTORY_CASE_EVIDENCE,OBSERVED,OBSERVED,OBSERVED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,"Caso documental mais completo; não usar como proxy territorial. Match Cigame é upstream, não equivalência local."
Iluminar Materiais Elétricos e Ferragens,09.674.510/0001-19,T03,CURRENT_INVENTORY_CASE_EVIDENCE,OBSERVED,OBSERVED,OBSERVED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,"Caso documental mais completo; não usar como proxy territorial. Match Cigame é upstream, não equivalência local."
Iluminar Materiais Elétricos e Ferragens,09.674.510/0001-19,T04,CURRENT_INVENTORY_CASE_EVIDENCE,OBSERVED,OBSERVED,OBSERVED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,"Caso documental mais completo; não usar como proxy territorial. Match Cigame é upstream, não equivalência local."
Iluminar Materiais Elétricos e Ferragens,09.674.510/0001-19,T05,CURRENT_INVENTORY_CASE_EVIDENCE,OBSERVED,OBSERVED,OBSERVED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,"Caso documental mais completo; não usar como proxy territorial. Match Cigame é upstream, não equivalência local."
Iluminar Materiais Elétricos e Ferragens,09.674.510/0001-19,T06,CURRENT_INVENTORY_CASE_EVIDENCE,OBSERVED,OBSERVED,OBSERVED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,"Caso documental mais completo; não usar como proxy territorial. Match Cigame é upstream, não equivalência local."
Iluminar Materiais Elétricos e Ferragens,09.674.510/0001-19,T07,CURRENT_INVENTORY_CASE_EVIDENCE,OBSERVED,OBSERVED,OBSERVED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,"Caso documental mais completo; não usar como proxy territorial. Match Cigame é upstream, não equivalência local."
Iluminar Materiais Elétricos e Ferragens,09.674.510/0001-19,T08,CURRENT_INVENTORY_CASE_EVIDENCE,OBSERVED,OBSERVED,OBSERVED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,"Caso documental mais completo; não usar como proxy territorial. Match Cigame é upstream, não equivalência local."
Iluminar Materiais Elétricos e Ferragens,09.674.510/0001-19,T09,CURRENT_INVENTORY_CASE_EVIDENCE,OBSERVED,OBSERVED,OBSERVED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,"Caso documental mais completo; não usar como proxy territorial. Match Cigame é upstream, não equivalência local."
Mercado JL,17.991.032/0001-07,T01,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Mercado JL,17.991.032/0001-07,T02,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Mercado JL,17.991.032/0001-07,T03,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Mercado JL,17.991.032/0001-07,T04,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Mercado JL,17.991.032/0001-07,T05,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Mercado JL,17.991.032/0001-07,T06,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Mercado JL,17.991.032/0001-07,T07,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Mercado JL,17.991.032/0001-07,T08,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Mercado JL,17.991.032/0001-07,T09,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Comercial Loss,26.003.402/0001-33,T01,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Comercial Loss,26.003.402/0001-33,T02,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Comercial Loss,26.003.402/0001-33,T03,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Comercial Loss,26.003.402/0001-33,T04,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Comercial Loss,26.003.402/0001-33,T05,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Comercial Loss,26.003.402/0001-33,T06,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Comercial Loss,26.003.402/0001-33,T07,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Comercial Loss,26.003.402/0001-33,T08,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Comercial Loss,26.003.402/0001-33,T09,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Steelpet,46.746.201/0001-33,T01,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Steelpet,46.746.201/0001-33,T02,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Steelpet,46.746.201/0001-33,T03,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Steelpet,46.746.201/0001-33,T04,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Steelpet,46.746.201/0001-33,T05,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Steelpet,46.746.201/0001-33,T06,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Steelpet,46.746.201/0001-33,T07,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Steelpet,46.746.201/0001-33,T08,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Steelpet,46.746.201/0001-33,T09,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Vieira,11.263.905/0001-70,T01,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Vieira,11.263.905/0001-70,T02,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Vieira,11.263.905/0001-70,T03,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Vieira,11.263.905/0001-70,T04,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Vieira,11.263.905/0001-70,T05,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Vieira,11.263.905/0001-70,T06,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Vieira,11.263.905/0001-70,T07,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Vieira,11.263.905/0001-70,T08,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Vieira,11.263.905/0001-70,T09,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Centauro,29.263.180/0001-86,T01,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Centauro,29.263.180/0001-86,T02,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Centauro,29.263.180/0001-86,T03,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Centauro,29.263.180/0001-86,T04,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Centauro,29.263.180/0001-86,T05,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Centauro,29.263.180/0001-86,T06,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Centauro,29.263.180/0001-86,T07,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Centauro,29.263.180/0001-86,T08,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Agropecuária Centauro,29.263.180/0001-86,T09,CURRENT_INVENTORY_GENERIC_FERRAGENS,INVENTORY_ONLY,NOT_TESTED,NOT_TESTED,PENDING_OFFICIAL_TR,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_PENDING_OFFICIAL_TR,Inventário atual indica relação genérica com ferragens; não inferir condutores antes de evidência de produto.
Guasso Ferragens,,T01,HISTORICAL_LEAD,HISTORICAL_LEAD,NOT_TESTED,NOT_TESTED,PENDING_CURRENT_RECONCILIATION,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_BEFORE_PRODUCT_GATE,Lead histórico; requer reconciliação corrente antes do gate de produto.
Guasso Ferragens,,T02,HISTORICAL_LEAD,HISTORICAL_LEAD,NOT_TESTED,NOT_TESTED,PENDING_CURRENT_RECONCILIATION,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_BEFORE_PRODUCT_GATE,Lead histórico; requer reconciliação corrente antes do gate de produto.
Guasso Ferragens,,T03,HISTORICAL_LEAD,HISTORICAL_LEAD,NOT_TESTED,NOT_TESTED,PENDING_CURRENT_RECONCILIATION,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_BEFORE_PRODUCT_GATE,Lead histórico; requer reconciliação corrente antes do gate de produto.
Guasso Ferragens,,T04,HISTORICAL_LEAD,HISTORICAL_LEAD,NOT_TESTED,NOT_TESTED,PENDING_CURRENT_RECONCILIATION,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_BEFORE_PRODUCT_GATE,Lead histórico; requer reconciliação corrente antes do gate de produto.
Guasso Ferragens,,T05,HISTORICAL_LEAD,HISTORICAL_LEAD,NOT_TESTED,NOT_TESTED,PENDING_CURRENT_RECONCILIATION,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,INDETERMINATE,BLOCKED_BEFORE_PRODUCT_GATE,Lead histórico; requer reconciliação corrente antes do gate de produto.
